"Race recode (White, Black, Other)","Sex","Year of diagnosis","Age recode with <1 year olds","In_situ","Localized","Regional","Distant","NA","Unknownunstaged","Blanks"
0,0,0,0,1,3,1,0,0,0,0
0,0,0,1,0,2,0,0,0,0,0
0,0,0,2,0,43,13,0,0,0,1
0,0,0,3,0,247,72,14,0,4,14
0,0,0,4,8,484,179,45,0,21,42
0,0,0,5,12,618,342,155,0,35,100
0,0,0,6,34,809,724,454,0,55,254
0,0,0,7,77,1177,1397,907,0,120,599
0,0,0,8,174,1872,2447,1748,0,202,1171
0,0,0,9,295,3351,4363,3242,0,328,2301
0,0,0,10,663,6041,7513,5798,0,588,4063
0,0,0,11,2071,14341,12417,8320,0,1102,7148
0,0,0,12,2094,15196,14458,10469,0,1454,8548
0,0,0,13,2321,18586,17203,12099,0,1857,10512
0,0,0,14,2786,22864,20080,12091,0,2227,13701
0,0,0,15,2576,23507,20488,11508,0,2550,16549
0,0,0,16,2129,22632,20441,10565,0,2822,18569
0,0,0,17,1659,20094,19197,9561,0,3826,15865
0,0,0,18,1230,19315,20306,10683,0,9266,15040
0,0,0,19,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0
0,0,1,3,0,0,0,0,0,0,0
0,0,1,4,0,0,0,0,0,0,10
0,0,1,5,0,0,0,0,0,0,17
0,0,1,6,0,0,0,0,0,0,68
0,0,1,7,0,0,0,0,0,0,155
0,0,1,8,0,0,0,0,0,0,288
0,0,1,9,0,0,0,0,0,0,578
0,0,1,10,0,0,0,0,0,0,916
0,0,1,11,0,0,0,0,0,0,1673
0,0,1,12,0,0,0,0,0,0,2022
0,0,1,13,0,0,0,0,0,0,2645
0,0,1,14,0,0,0,0,0,0,3475
0,0,1,15,0,0,0,0,0,0,4234
0,0,1,16,0,0,0,0,0,0,4727
0,0,1,17,0,0,0,0,0,0,3877
0,0,1,18,0,0,0,0,0,0,3755
0,0,1,19,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0
0,0,2,2,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,7
0,0,2,4,0,0,0,0,0,0,10
0,0,2,5,0,0,0,0,0,0,29
0,0,2,6,0,0,0,0,0,0,54
0,0,2,7,0,0,0,0,0,0,122
0,0,2,8,0,0,0,0,0,0,291
0,0,2,9,0,0,0,0,0,0,547
0,0,2,10,0,0,0,0,0,0,1066
0,0,2,11,0,0,0,0,0,0,1748
0,0,2,12,0,0,0,0,0,0,2073
0,0,2,13,0,0,0,0,0,0,2592
0,0,2,14,0,0,0,0,0,0,3400
0,0,2,15,0,0,0,0,0,0,4199
0,0,2,16,0,0,0,0,0,0,4771
0,0,2,17,0,0,0,0,0,0,3889
0,0,2,18,0,0,0,0,0,0,3867
0,0,2,19,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0
0,0,3,1,0,0,0,0,0,0,0
0,0,3,2,0,0,0,0,0,0,1
0,0,3,3,0,0,0,0,0,0,5
0,0,3,4,0,0,0,0,0,0,11
0,0,3,5,0,0,0,0,0,0,27
0,0,3,6,0,0,0,0,0,0,64
0,0,3,7,0,0,0,0,0,0,155
0,0,3,8,0,0,0,0,0,0,308
