Race,Sex,Year,Age,In the natural position of diagnosis,Localized,Regional,Distant,Unknown Stage,Blanks/ Meets NO requirements as whole
White,Male/Female,2000,<1 year,1,3,1,0,0,0
White,Male/Female,2000,01-04 years,0,2,0,0,0,0
White,Male/Female,2000,05-09 years,0,43,13,0,0,1
White,Male/Female,2000,10-14 years,0,247,72,14,4,14
White,Male/Female,2000,15-19 years,8,484,179,45,21,42
White,Male/Female,2000,20-24 years,12,618,342,155,35,100
White,Male/Female,2000,25-29 years,34,809,724,454,55,254
White,Male/Female,2000,30-34 years,77,1177,1397,907,120,599
White,Male/Female,2000,35-39 years,174,1872,2447,1748,202,1171
White,Male/Female,2000,40-44 years,295,3351,4363,3242,328,2301
White,Male/Female,2000,45-49 years,663,6041,7513,5798,588,4063
White,Male/Female,2000,50-54 years,2071,14341,12417,8320,1102,7148
White,Male/Female,2000,55-59 years,2094,15196,14458,10469,1454,8548
White,Male/Female,2000,60-64 years,2321,18586,17203,12099,1857,10512
White,Male/Female,2000,65-69 years,2786,22864,20080,12091,2227,13701
White,Male/Female,2000,70-74 years,2576,23507,20488,11508,2550,16549
White,Male/Female,2000,75-79 years,2129,22632,20441,10565,2822,18569
White,Male/Female,2000,80-84 years,1659,20094,19197,9561,3826,15865
White,Male/Female,2000,85+,1230,19315,20306,10683,9266,15040
White,Male/Female,2000,unknown age,0,0,0,0,0,0
White,Male/Female,2001,<1 year,0,0,0,0,0,0
White,Male/Female,2001,01-04 years,0,0,0,0,0,0
White,Male/Female,2001,05-09 years,0,0,0,0,0,0
White,Male/Female,2001,10-14 years,0,0,0,0,0,0
White,Male/Female,2001,15-19 years,0,0,0,0,0,10
White,Male/Female,2001,20-24 years,0,0,0,0,0,17
White,Male/Female,2001,25-29 years,0,0,0,0,0,68
White,Male/Female,2001,30-34 years,0,0,0,0,0,155
White,Male/Female,2001,35-39 years,0,0,0,0,0,288
White,Male/Female,2001,40-44 years,0,0,0,0,0,578
White,Male/Female,2001,45-49 years,0,0,0,0,0,916
White,Male/Female,2001,50-54 years,0,0,0,0,0,1673
White,Male/Female,2001,55-59 years,0,0,0,0,0,2022
White,Male/Female,2001,60-64 years,0,0,0,0,0,2645
White,Male/Female,2001,65-69 years,0,0,0,0,0,3475
White,Male/Female,2001,70-74 years,0,0,0,0,0,4234
White,Male/Female,2001,75-79 years,0,0,0,0,0,4727
White,Male/Female,2001,80-84 years,0,0,0,0,0,3877
